,City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
140,Delhi,2015-01-02 04:00:00,458.8,137.5,11.8,63.1,208.8,23.1,6.76,51.1,154.0,7.64,29.17,4.45,108.2,Moderate
145,Delhi,2015-01-02 05:00:00,449.3,370.7,172.2,130.8,63.8,41.8,1.46,22.6,184.2,18.22,13.74,1.36,183.3,Poor
150,Delhi,2015-01-02 06:00:00,84.0,354.8,168.6,45.4,76.8,10.4,6.95,83.8,34.0,9.41,24.18,9.96,405.4,Good
155,Delhi,2015-01-02 07:00:00,392.5,239.9,119.8,71.3,66.4,45.9,6.34,55.4,27.9,12.66,9.42,2.61,201.4,Moderate
160,Delhi,2015-01-02 08:00:00,337.7,149.9,136.6,116.8,82.6,2.9,8.68,44.2,85.8,9.19,20.26,9.65,212.9,Poor
165,Delhi,2015-01-02 09:00:00,257.2,451.3,88.6,142.1,242.9,15.7,4.62,17.9,45.0,1.04,25.56,9.17,204.0,Good
170,Delhi,2015-01-02 10:00:00,325.7,103.7,21.7,103.5,244.0,32.1,5.62,5.7,151.0,16.09,27.04,8.4,66.1,Satisfactory
175,Delhi,2015-01-02 11:00:00,210.2,307.3,22.9,116.2,24.7,47.3,9.29,72.0,168.9,9.6,8.76,9.49,342.8,Severe
180,Delhi,2015-01-02 12:00:00,395.5,347.0,129.7,86.7,223.8,28.5,4.81,85.8,69.5,0.25,18.55,5.75,362.4,Satisfactory
185,Delhi,2015-01-02 13:00:00,483.0,95.9,193.0,102.5,30.7,8.5,8.29,22.1,12.4,12.14,11.73,8.32,51.2,Poor
190,Delhi,2015-01-02 14:00:00,307.0,461.3,124.3,117.6,52.5,2.5,0.9,4.6,138.8,2.27,4.93,7.35,272.8,Very Poor
195,Delhi,2015-01-02 15:00:00,116.0,225.7,14.8,6.4,238.9,8.4,2.02,81.4,47.2,18.91,1.29,4.72,97.8,Severe
200,Delhi,2015-01-02 16:00:00,33.8,345.9,29.7,15.7,212.4,10.7,9.12,36.2,60.3,15.01,3.2,3.49,403.3,Very Poor
205,Delhi,2015-01-02 17:00:00,300.4,451.0,76.3,64.1,175.3,1.3,0.9,57.2,113.0,9.68,6.02,9.49,312.3,Poor
210,Delhi,2015-01-02 18:00:00,275.0,110.8,59.2,49.1,178.5,11.4,9.89,47.7,171.5,10.26,9.87,8.03,375.1,Good
215,Delhi,2015-01-02 19:00:00,435.4,457.6,142.0,124.6,152.1,8.1,1.91,10.6,172.5,10.06,25.0,8.93,103.1,Very Poor
220,Delhi,2015-01-02 20:00:00,288.4,82.8,140.3,41.2,205.6,33.0,4.83,62.1,27.3,17.42,15.0,8.29,297.9,Very Poor
225,Delhi,2015-01-02 21:00:00,278.5,446.4,36.1,39.1,33.5,25.5,6.72,55.1,154.3,9.36,7.45,0.12,106.1,Satisfactory
230,Delhi,2015-01-02 22:00:00,66.1,466.6,196.9,11.9,44.1,46.9,1.68,52.8,177.3,9.27,16.3,7.83,240.5,Severe
235,Delhi,2015-01-02 23:00:00,449.4,566.8,5.4,16.6,114.0,3.2,3.26,31.9,26.6,11.38,19.83,6.66,473.8,Severe
240,Delhi,2015-01-03 00:00:00,309.0,463.5,83.2,87.5,53.8,19.8,0.55,48.7,82.1,8.13,18.31,7.23,496.2,Severe
245,Delhi,2015-01-03 01:00:00,471.1,246.3,169.1,108.8,88.9,27.7,0.98,20.8,162.8,8.9,5.54,6.44,184.9,Moderate
250,Delhi,2015-01-03 02:00:00,346.9,275.2,103.6,126.0,246.3,47.3,0.01,97.9,2.1,0.26,4.58,0.9,353.4,Poor
255,Delhi,2015-01-03 03:00:00,141.9,144.9,197.4,77.6,6.4,3.9,2.75,69.2,162.3,16.01,2.59,5.42,324.1,Very Poor
260,Delhi,2015-01-03 04:00:00,197.7,138.3,63.2,121.8,249.1,14.6,5.45,26.6,154.9,2.22,12.21,6.87,490.2,Very Poor
265,Delhi,2015-01-03 05:00:00,162.1,444.0,144.9,141.2,239.8,37.6,7.66,88.2,55.2,19.14,20.01,0.2,75.6,Very Poor
270,Delhi,2015-01-03 06:00:00,356.8,45.8,189.7,2.9,35.2,42.6,8.63,22.0,81.6,13.35,0.45,8.5,50.1,Poor
275,Delhi,2015-01-03 07:00:00,468.2,360.3,32.2,146.3,231.0,26.3,0.99,55.2,37.1,8.92,3.33,4.25,101.8,Poor
280,Delhi,2015-01-03 08:00:00,43.1,275.4,42.2,109.8,6.5,47.8,7.71,53.6,95.3,1.76,13.65,1.55,102.8,Satisfactory
285,Delhi,2015-01-03 09:00:00,198.5,565.2,67.5,3.4,173.3,38.3,4.26,65.9,163.2,8.53,16.62,5.25,181.9,Moderate
290,Delhi,2015-01-03 10:00:00,212.8,181.3,192.6,27.8,158.6,24.8,6.7,11.3,187.2,2.65,29.77,2.64,176.8,Moderate
295,Delhi,2015-01-03 11:00:00,369.3,266.7,87.9,133.7,40.4,47.4,6.57,15.5,102.3,9.7,13.34,2.97,56.4,Severe
300,Delhi,2015-01-03 12:00:00,264.5,13.4,187.7,41.0,192.6,29.8,0.88,28.4,54.6,10.82,13.09,9.13,298.7,Severe
305,Delhi,2015-01-03 13:00:00,437.5,92.0,33.9,31.6,44.5,33.3,2.43,21.1,105.7,0.64,14.79,6.48,225.0,Poor
310,Delhi,2015-01-03 14:00:00,223.4,235.4,34.2,33.1,134.6,3.3,4.85,44.6,104.3,14.36,14.57,0.01,372.3,Very Poor
315,Delhi,2015-01-03 15:00:00,192.4,11.0,145.6,59.8,4.0,29.6,8.31,99.3,108.1,19.33,6.58,5.7,484.2,Satisfactory
320,Delhi,2015-01-03 16:00:00,421.6,493.7,22.9,93.5,183.0,37.9,8.57,54.2,43.6,0.85,25.38,4.9,458.9,Poor
325,Delhi,2015-01-03 17:00:00,467.7,429.7,184.1,89.8,230.0,34.3,4.19,26.8,11.6,1.57,14.98,5.6,271.2,Very Poor
330,Delhi,2015-01-03 18:00:00,70.0,228.0,177.5,64.9,97.1,31.4,7.93,1.0,122.0,1.22,5.08,2.61,111.1,Good
335,Delhi,2015-01-03 19:00:00,181.4,258.3,41.6,21.8,211.0,18.6,6.1,2.0,197.3,9.85,16.35,5.32,325.3,Good
340,Delhi,2015-01-03 20:00:00,397.7,108.2,61.2,145.4,115.2,1.2,0.8,52.2,175.6,4.74,28.16,2.31,199.1,Severe
345,Delhi,2015-01-03 21:00:00,445.6,447.5,149.5,26.0,129.8,25.2,6.46,42.0,7.3,4.07,4.29,5.92,321.7,Poor
350,Delhi,2015-01-03 22:00:00,191.9,55.6,53.3,141.6,199.8,47.5,2.63,88.8,51.1,17.28,26.71,1.39,160.2,Moderate
355,Delhi,2015-01-03 23:00:00,65.6,558.1,6.0,2.2,43.4,30.3,6.66,71.4,19.0,0.78,8.18,4.7,411.3,Satisfactory
360,Delhi,2015-01-04 00:00:00,247.9,188.3,5.9,66.2,132.9,30.4,3.76,90.5,114.1,4.0,24.57,6.68,274.5,Severe
365,Delhi,2015-01-04 01:00:00,74.7,291.7,99.4,42.6,14.3,19.8,1.88,81.3,104.5,1.43,12.48,6.29,144.1,Satisfactory
370,Delhi,2015-01-04 02:00:00,381.5,175.2,78.3,13.6,231.6,13.3,8.49,94.5,19.8,4.08,4.19,2.78,72.3,Moderate
375,Delhi,2015-01-04 03:00:00,406.2,54.0,11.4,6.7,35.6,16.4,8.17,40.9,41.3,6.58,24.47,1.26,146.2,Moderate
380,Delhi,2015-01-04 04:00:00,16.5,525.9,46.2,107.9,62.2,46.9,6.99,90.2,63.7,8.47,22.48,3.07,413.6,Very Poor
385,Delhi,2015-01-04 05:00:00,267.0,540.8,20.4,59.8,14.8,25.6,6.53,9.0,112.1,11.3,12.5,4.13,76.3,Poor
390,Delhi,2015-01-04 06:00:00,176.5,204.8,78.7,140.1,233.5,0.3,5.99,81.5,21.9,5.36,14.23,7.12,294.8,Severe
395,Delhi,2015-01-04 07:00:00,473.1,467.3,69.7,145.1,175.3,7.4,5.39,1.8,129.8,8.66,26.96,1.47,95.4,Good
400,Delhi,2015-01-04 08:00:00,401.9,120.5,99.3,126.3,181.6,3.1,6.49,42.9,172.3,1.22,17.92,5.18,250.5,Satisfactory
405,Delhi,2015-01-04 09:00:00,405.7,138.8,19.4,114.0,4.1,26.7,4.35,79.8,105.6,18.71,5.97,5.2,414.3,Very Poor
410,Delhi,2015-01-04 10:00:00,371.9,19.9,63.9,41.9,224.4,23.2,1.05,69.9,190.5,18.03,25.32,0.1,258.2,Poor
415,Delhi,2015-01-04 11:00:00,205.1,234.1,3.6,35.0,190.4,38.2,7.65,31.9,119.3,2.51,29.27,2.92,209.9,Good
420,Delhi,2015-01-04 12:00:00,163.3,98.1,71.4,148.1,8.9,40.6,0.46,12.6,176.2,8.76,29.5,8.06,103.4,Good
425,Delhi,2015-01-04 13:00:00,114.7,565.3,176.0,62.5,35.3,5.0,6.6,93.3,128.7,16.03,21.32,6.08,75.9,Poor
430,Delhi,2015-01-04 14:00:00,227.7,167.0,119.0,84.5,8.4,6.2,2.96,91.3,136.3,12.24,7.48,6.24,339.2,Satisfactory
435,Delhi,2015-01-04 15:00:00,332.4,444.8,61.1,119.7,234.0,46.3,1.66,34.0,80.7,0.84,9.23,5.84,168.4,Good
440,Delhi,2015-01-04 16:00:00,467.5,418.9,93.5,51.8,148.8,2.6,6.04,57.9,167.6,11.75,27.59,6.61,344.8,Severe
445,Delhi,2015-01-04 17:00:00,448.9,407.7,84.4,147.4,138.4,21.7,1.65,21.2,188.1,4.42,27.44,3.56,72.9,Severe
450,Delhi,2015-01-04 18:00:00,372.2,39.7,154.5,88.2,58.5,25.3,9.15,34.4,121.1,15.48,14.35,0.05,291.1,Satisfactory
455,Delhi,2015-01-04 19:00:00,214.2,16.1,49.4,89.1,49.3,34.2,8.1,3.7,119.7,15.92,16.25,6.59,309.0,Poor
460,Delhi,2015-01-04 20:00:00,119.2,49.3,74.2,102.3,189.0,21.2,0.01,14.9,187.1,12.66,21.62,6.23,432.0,Satisfactory
465,Delhi,2015-01-04 21:00:00,66.3,275.2,70.3,22.8,37.4,21.7,8.1,27.2,77.5,18.56,16.9,2.92,254.1,Satisfactory
470,Delhi,2015-01-04 22:00:00,330.5,176.9,190.7,10.9,23.0,15.1,2.12,47.6,94.9,1.04,10.33,5.29,59.7,Poor
475,Delhi,2015-01-04 23:00:00,59.4,414.9,5.2,27.4,226.4,5.4,8.36,86.8,159.2,7.57,23.72,3.85,278.7,Good
480,Delhi,2015-01-05 00:00:00,280.4,434.3,26.7,36.0,247.9,15.3,6.87,88.2,97.5,17.63,0.69,4.3,180.7,Very Poor
485,Delhi,2015-01-05 01:00:00,372.0,301.4,53.0,4.5,53.5,3.0,7.84,3.4,83.9,1.35,21.88,0.26,465.6,Good
490,Delhi,2015-01-05 02:00:00,108.0,435.9,43.4,75.4,207.3,11.3,4.18,85.5,114.1,2.89,6.29,0.48,5.5,Moderate
495,Delhi,2015-01-05 03:00:00,209.3,470.7,62.8,62.3,219.2,16.2,7.66,29.6,20.4,14.65,22.58,1.66,327.4,Satisfactory
500,Delhi,2015-01-05 04:00:00,77.9,280.0,99.1,18.5,206.9,3.9,0.77,7.3,58.8,3.75,20.2,4.62,381.0,Satisfactory
505,Delhi,2015-01-05 05:00:00,35.3,408.3,170.5,16.0,159.1,40.9,0.41,10.8,44.2,14.61,26.6,1.37,395.1,Poor
510,Delhi,2015-01-05 06:00:00,421.3,146.4,197.1,100.7,65.3,38.5,5.68,33.1,18.3,8.88,6.78,8.69,133.5,Poor
515,Delhi,2015-01-05 07:00:00,189.6,4.1,105.4,2.1,135.4,39.8,9.25,65.2,55.1,0.88,12.25,7.43,28.0,Severe
520,Delhi,2015-01-05 08:00:00,291.1,304.7,154.6,108.1,174.9,43.8,9.44,56.7,123.4,6.82,29.31,2.16,66.0,Poor
525,Delhi,2015-01-05 09:00:00,192.1,216.5,4.5,40.6,165.9,40.7,5.09,36.4,132.1,3.0,22.67,9.41,419.6,Satisfactory
530,Delhi,2015-01-05 10:00:00,252.6,352.9,65.4,131.9,105.9,0.9,3.38,84.3,186.9,17.51,19.18,5.41,219.4,Very Poor
535,Delhi,2015-01-05 11:00:00,381.4,474.6,14.0,12.5,82.0,17.9,0.84,6.5,132.3,7.65,16.5,1.72,195.3,Moderate
540,Delhi,2015-01-05 12:00:00,110.8,58.3,23.6,65.5,51.3,2.7,6.82,35.1,20.8,17.18,16.06,2.21,128.2,Very Poor
545,Delhi,2015-01-05 13:00:00,394.3,288.4,69.9,30.1,232.9,36.4,1.95,34.1,20.9,16.03,11.25,4.54,92.3,Very Poor
550,Delhi,2015-01-05 14:00:00,193.7,465.9,70.5,118.5,44.7,44.1,6.01,37.1,25.4,9.92,16.61,1.08,217.2,Severe
555,Delhi,2015-01-05 15:00:00,304.2,144.4,53.4,106.4,77.5,16.4,5.94,77.0,63.4,1.98,3.64,2.22,240.2,Satisfactory
560,Delhi,2015-01-05 16:00:00,318.8,214.4,101.2,38.1,224.8,28.2,3.72,63.8,141.6,4.97,29.55,7.73,286.4,Poor
565,Delhi,2015-01-05 17:00:00,243.1,42.9,92.7,23.8,126.7,42.2,6.49,94.3,4.1,9.47,3.29,5.42,251.1,Very Poor
570,Delhi,2015-01-05 18:00:00,349.0,223.9,20.1,75.2,140.2,41.9,6.94,20.7,17.8,8.7,15.18,1.04,206.2,Very Poor
575,Delhi,2015-01-05 19:00:00,372.2,426.0,131.4,117.8,8.1,44.2,3.37,27.5,59.2,10.65,0.02,7.11,129.4,Satisfactory
580,Delhi,2015-01-05 20:00:00,381.5,62.2,40.7,43.1,109.3,14.1,1.69,55.6,13.4,1.01,1.28,9.8,459.5,Very Poor
585,Delhi,2015-01-05 21:00:00,175.8,170.5,11.1,71.7,12.5,12.3,7.82,19.5,93.3,18.36,18.8,7.21,436.8,Moderate
590,Delhi,2015-01-05 22:00:00,465.2,27.3,15.8,40.1,163.3,48.2,0.01,84.2,163.1,11.65,28.68,5.48,209.3,Very Poor
595,Delhi,2015-01-05 23:00:00,389.7,167.0,43.0,91.1,241.6,47.5,9.41,65.0,28.5,16.22,25.26,0.25,331.7,Very Poor
600,Delhi,2015-01-06 00:00:00,484.8,577.6,151.1,54.5,99.6,10.2,9.04,32.8,60.2,13.62,9.58,7.86,145.8,Satisfactory
605,Delhi,2015-01-06 01:00:00,289.1,133.2,48.1,38.4,138.7,11.6,8.88,68.2,191.9,13.63,2.21,4.18,331.1,Severe
610,Delhi,2015-01-06 02:00:00,351.2,454.6,147.9,129.9,156.7,48.6,1.31,50.3,105.0,15.29,14.23,9.41,309.4,Severe
615,Delhi,2015-01-06 03:00:00,421.8,497.9,167.0,80.7,198.6,15.9,2.28,98.2,171.0,0.38,20.76,2.21,429.8,Satisfactory
620,Delhi,2015-01-06 04:00:00,229.0,575.6,155.3,81.0,153.6,43.3,7.41,88.5,49.6,18.22,7.63,5.69,292.5,Very Poor
625,Delhi,2015-01-06 05:00:00,13.8,548.7,33.1,111.4,246.4,47.9,4.82,1.3,113.5,13.48,10.69,7.8,248.0,Satisfactory
630,Delhi,2015-01-06 06:00:00,108.7,590.4,68.9,117.3,63.1,37.9,3.2,1.7,52.0,2.77,14.11,3.85,44.2,Moderate
635,Delhi,2015-01-06 07:00:00,386.5,595.7,181.8,23.4,104.9,3.2,2.05,32.7,2.6,1.26,3.0,0.73,481.3,Moderate
640,Delhi,2015-01-06 08:00:00,306.5,425.2,170.0,6.5,118.2,1.5,9.03,2.0,6.5,6.57,23.27,2.91,106.2,Severe
645,Delhi,2015-01-06 09:00:00,277.2,399.2,147.2,72.3,92.0,23.9,6.95,41.7,76.8,19.33,28.68,8.52,13.1,Severe
650,Delhi,2015-01-06 10:00:00,304.0,502.7,117.7,53.5,91.3,25.1,2.69,96.8,125.9,19.52,8.76,9.63,336.9,Severe
655,Delhi,2015-01-06 11:00:00,322.6,148.3,26.2,45.3,214.2,20.5,7.42,56.9,83.4,3.58,9.35,6.38,155.2,Good
660,Delhi,2015-01-06 12:00:00,290.4,310.5,112.1,140.6,120.9,36.3,6.94,67.6,82.3,8.77,1.69,5.69,177.1,Poor
665,Delhi,2015-01-06 13:00:00,353.1,280.8,107.4,65.1,216.1,47.3,7.19,22.9,132.4,0.82,15.9,4.39,272.0,Satisfactory
670,Delhi,2015-01-06 14:00:00,4.9,570.5,190.2,7.1,56.6,5.6,4.82,16.8,29.1,17.65,20.46,2.35,493.1,Good
675,Delhi,2015-01-06 15:00:00,156.8,421.0,107.0,24.9,25.8,12.2,0.53,47.1,193.6,5.52,14.11,3.55,213.9,Severe
680,Delhi,2015-01-06 16:00:00,81.1,66.5,5.9,72.0,140.6,48.3,7.53,42.8,76.6,15.91,4.64,3.59,497.6,Severe
685,Delhi,2015-01-06 17:00:00,22.2,115.3,156.6,113.9,233.9,39.9,3.65,53.8,129.7,11.15,17.39,2.57,200.7,Good
690,Delhi,2015-01-06 18:00:00,277.2,135.7,27.0,59.3,210.1,2.5,3.02,5.9,81.1,14.72,8.53,4.19,93.7,Severe
695,Delhi,2015-01-06 19:00:00,98.1,382.2,142.1,81.2,68.2,34.1,9.96,66.8,69.0,1.78,26.29,0.26,189.6,Very Poor
700,Delhi,2015-01-06 20:00:00,404.6,416.0,103.3,82.7,228.0,31.3,0.74,87.9,187.7,14.04,1.06,1.93,204.6,Severe
705,Delhi,2015-01-06 21:00:00,144.5,219.8,180.7,25.4,155.0,1.7,5.4,75.1,33.0,7.09,4.05,5.14,238.3,Severe
710,Delhi,2015-01-06 22:00:00,88.7,208.1,9.0,127.1,107.8,30.4,5.41,21.2,22.0,8.36,17.45,8.58,93.5,Very Poor
715,Delhi,2015-01-06 23:00:00,469.6,110.0,189.1,121.8,245.8,31.4,0.03,52.4,199.4,12.48,3.69,7.29,379.8,Moderate
720,Delhi,2015-01-07 00:00:00,389.5,558.9,25.9,99.0,102.4,10.9,1.9,47.2,24.2,10.32,17.64,5.94,460.1,Very Poor
725,Delhi,2015-01-07 01:00:00,433.2,384.0,112.0,77.9,136.2,14.9,0.16,84.9,188.1,3.1,21.42,9.13,58.1,Good
730,Delhi,2015-01-07 02:00:00,280.8,256.3,122.4,147.3,102.1,33.0,4.19,52.2,65.0,18.01,26.65,3.2,105.8,Good
735,Delhi,2015-01-07 03:00:00,211.3,555.1,98.9,50.7,12.9,18.9,5.37,40.3,152.9,19.19,14.26,9.96,271.0,Satisfactory
740,Delhi,2015-01-07 04:00:00,5.8,508.3,96.0,91.2,147.6,10.6,7.69,50.2,195.7,4.4,20.88,6.8,356.7,Severe
745,Delhi,2015-01-07 05:00:00,0.7,396.7,188.8,6.5,46.7,21.1,5.46,51.6,90.4,14.23,5.82,8.18,392.4,Severe
750,Delhi,2015-01-07 06:00:00,356.8,148.4,85.0,27.7,103.6,32.3,2.51,8.6,95.1,14.31,15.81,9.32,456.1,Moderate
755,Delhi,2015-01-07 07:00:00,436.5,477.4,128.7,121.3,77.2,29.2,4.2,97.3,150.9,5.39,17.12,2.25,6.7,Severe
760,Delhi,2015-01-07 08:00:00,388.8,471.2,131.1,52.1,68.6,10.9,5.3,89.4,18.4,18.24,6.89,3.2,337.1,Satisfactory
765,Delhi,2015-01-07 09:00:00,369.9,209.7,60.4,108.1,140.9,5.5,5.4,91.2,38.0,6.89,10.91,1.8,262.5,Moderate
770,Delhi,2015-01-07 10:00:00,3.0,220.7,161.1,126.3,30.4,16.8,5.61,79.1,78.2,19.61,12.01,1.56,226.8,Moderate
775,Delhi,2015-01-07 11:00:00,408.1,365.3,136.0,149.5,159.3,0.1,8.17,20.7,28.5,3.46,28.54,2.09,303.3,Very Poor
780,Delhi,2015-01-07 12:00:00,147.1,557.4,26.8,13.6,77.9,21.1,0.23,27.5,15.3,3.13,5.53,7.64,24.9,Satisfactory
785,Delhi,2015-01-07 13:00:00,50.1,587.0,151.1,111.0,79.9,0.6,7.99,23.3,88.2,4.52,20.33,8.02,125.5,Very Poor
790,Delhi,2015-01-07 14:00:00,35.3,173.8,120.1,105.5,141.8,3.4,0.79,40.9,82.8,8.05,0.08,4.15,144.6,Poor
795,Delhi,2015-01-07 15:00:00,105.0,502.0,155.8,41.0,222.2,47.6,5.24,59.9,159.2,8.26,29.09,8.26,289.3,Satisfactory
800,Delhi,2015-01-07 16:00:00,139.0,397.2,18.8,114.8,198.2,20.6,9.34,75.6,37.9,13.37,8.22,2.23,176.0,Moderate
805,Delhi,2015-01-07 17:00:00,388.3,526.3,3.3,130.0,213.0,25.8,8.9,59.7,174.6,18.17,1.71,3.79,320.5,Good
810,Delhi,2015-01-07 18:00:00,347.1,366.6,37.9,119.8,133.9,42.9,7.4,68.3,124.7,11.94,23.33,7.81,190.4,Poor
815,Delhi,2015-01-07 19:00:00,227.5,233.9,144.5,46.8,141.3,31.4,3.81,41.6,109.9,14.62,1.61,4.44,109.6,Very Poor
820,Delhi,2015-01-07 20:00:00,451.6,111.8,163.8,74.1,137.2,5.4,1.48,37.1,19.8,17.21,9.79,5.76,199.8,Moderate
825,Delhi,2015-01-07 21:00:00,276.8,263.2,22.0,142.5,171.3,13.1,2.72,59.9,102.6,14.87,27.81,9.59,426.7,Very Poor
830,Delhi,2015-01-07 22:00:00,76.7,219.4,9.0,0.5,187.4,26.0,7.57,82.4,6.9,13.15,10.22,2.67,303.8,Severe
835,Delhi,2015-01-07 23:00:00,116.8,271.3,58.7,125.8,50.3,39.3,7.63,25.7,151.4,17.51,10.39,7.85,317.6,Very Poor
840,Delhi,2015-01-08 00:00:00,470.4,333.1,175.9,22.4,131.0,11.8,2.31,77.5,14.0,15.58,2.79,9.32,481.6,Poor
845,Delhi,2015-01-08 01:00:00,180.9,523.3,118.5,46.1,19.9,26.0,3.58,60.3,193.7,14.28,27.57,2.48,137.4,Poor
850,Delhi,2015-01-08 02:00:00,171.1,290.6,18.0,75.0,72.8,36.7,7.15,98.9,84.7,4.11,25.94,7.06,275.0,Severe
855,Delhi,2015-01-08 03:00:00,77.3,213.4,95.4,102.2,128.9,1.4,5.05,11.5,134.2,13.26,21.82,2.95,21.0,Very Poor
860,Delhi,2015-01-08 04:00:00,432.8,270.6,50.3,31.8,150.0,21.6,6.37,33.4,10.3,3.79,13.74,8.21,413.1,Good
865,Delhi,2015-01-08 05:00:00,295.9,451.0,41.2,146.9,129.0,46.6,7.21,60.2,82.4,19.51,14.59,2.8,42.2,Good
870,Delhi,2015-01-08 06:00:00,7.6,425.6,121.6,121.7,137.6,15.9,9.69,24.3,109.8,12.39,6.66,7.93,232.6,Good
875,Delhi,2015-01-08 07:00:00,208.7,583.0,69.6,28.8,185.4,32.1,7.09,93.5,18.0,4.82,21.21,2.28,147.0,Good
880,Delhi,2015-01-08 08:00:00,487.3,153.7,162.3,137.4,26.2,20.5,9.19,92.4,186.2,17.95,7.04,1.69,377.2,Severe
885,Delhi,2015-01-08 09:00:00,88.8,150.0,46.6,140.9,95.1,15.6,3.89,92.6,136.8,13.43,4.07,7.66,498.7,Very Poor
890,Delhi,2015-01-08 10:00:00,165.5,337.9,61.2,44.1,157.8,47.3,6.63,86.4,134.7,14.48,2.55,2.99,0.2,Poor
895,Delhi,2015-01-08 11:00:00,273.5,372.4,30.6,92.3,235.1,15.7,3.72,17.7,84.2,6.22,22.23,7.0,15.0,Moderate
